#idx,nombre,dir,lat,lng,precio_rango,pts_comida,pts_servicio,pts_ambiente,cnt_reviews,cocina,img
296,Donkeys & Friends,Thames 1889,-34.5860752,-58.428109,75,,,,,"Mexicana, Norteamericana",Donkeys---Friends-15080-44579a56-c8d6-4cfd-92f9-e0d6c801d1db
297,Las Horas,Paraguay 4601,-34.5839075,-58.4251587,100,,,,,Parrilla,Las-Horas-15082-832205dc-e54a-fd51-d7f8-56ce2b85b769
298,Nebula,Serrano 1160,-34.591658790738,-58.434836458179,,,,,,"De Autor, Porteña",photo_2220_1.jpg-fdd03a82-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
299,Siga la vaca express,"Av. Alvarez Thomas 6 ",-34.58316,-58.444529,75,,,,,Parrilla,photo_7502_1.jpg-fdd4cd2e-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
300,Peru deli,Antonio Beruti 4602,-34.577674,-58.42435,,,,,,Peruana,photo_8036_1.jpg-fdd51baa-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
301,La esquina de las flores,Gurruchaga 1630,-34.589060674849,-58.428895381657,,,,,,Natural,photo_1426_1.jpg-fdcf287f-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
302,Lo de Carlitos - El sabor original,Charcas 3702,-34.5881822,-58.4170741,75,,,,,Casera,Restaurante.jpg
303,Marita,Sanchez de Bustamante 2498,-34.5844953,-58.4027996,100,,,,,De Autor,Restaurante.jpg
304,Wherever bar,Fray Justo Santamaría de Oro 2476,-34.579599,-58.424607,75,,,,,Porteña,Wherever-Bar-6319-d7fddad6-56de-c9ff-7b52-5728ae2d05c6
305,Wayback Burgers,Armenia 1231,-34.592602,-58.4320504,75,,,,,Norteamericana,Wayback-Burgers-15754-b61a05b7-4eb2-dd4d-48b4-571125cef574
306,El galeón,Av. Santa Fé 4002,-34.582251228289,-58.420029954339,50,,,,,Pizza,El-Galeon-2352-413f83bc-b31b-c1be-95e7-56d056a011b7
307,Rincón parrillero,Av. Medrano 1293,-34.594138904383,-58.419553224476,75,,,,,Parrilla,photo_3066_1.jpg-fdd1c099-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
308,A Manger,Charcas 4001,-34.586012830338,-58.419856116774,75,,,,,"Mediterránea, Española, Francesa",photo_2750_1.jpg-fdd0fd29-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
309,Post street bar,Thames 1885,-34.586004739913,-58.42814195356,50,,,,,Variada,photo_2655_1.jpg-fdd0d675-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
310,Bellagamba,Armenia 1242,-34.5925304,-58.4319734,50,,,,,Porteña,Restaurante.jpg
311,Bakano,Jerónimo Salguero 1388,-34.594186904572,-58.418292268652,50,,,,,"Pizza, Mediterránea",photo_1843_1.jpg-fdcfc3f2-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
312,The Roxy Bar,Gorriti 5568,-34.5852239,-58.4368719,,,,,,Norteamericana,Restaurante.jpg
313,Crystal,El Salvador 5100,-34.586656324058,-58.431042739888,,,,,,De Autor,photo_3519_1.jpg-fdd2aa1d-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
314,Nucha,Nicaragua 6055,-34.5779878,-58.4382053,75,,,,,"Deli, De Autor",photo_14046_1.jpg-fdd6c8b5-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
315,La Bandurria,Nicaragua 6078,-34.5778199,-58.4384937,100,,,,,"Pizza, Parrilla",La-Bandurria-14384-d8c12e66-9ee1-45b9-b9a4-5397e9d1cfac
316,The película,Charcas 3667,-34.588486,-58.416629,75,,,,,"Parrilla, Casera",ThePelicula-8456-9cdf9487-cb3f-5cf9-e23e-56f03639072c
317,Juana de Oro,Fray Justo Santamaria de Oro 2899,-34.5750176,-58.4205534,50,,,,,De Autor,photo_6407_1.jpg-fdd43224-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
318,El estuario,Rafael Obligado Av. 6710,-34.560059,-58.408428,,,,,,Parrilla,photo_6693_1.jpg-fdd45888-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
319,Pekín bar de pizzas,Honduras 5303,-34.586798,-58.432923,,,,,,Pizza,photo_6836_1.jpg-fdd4a65e-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
320,La Carnicería,Thames 2317,-34.5828938,-58.4238152,75,,,,,Parrilla,Restaurante.jpg
321,El Quetzal Casa Cultural,Guatemala 4516,-34.5877021,-58.4227207,50,,,,,De Autor,el-quetzal-casa-cultural-c0mq5-604179c5-f962-4f53-a7dc-fbbb159c5abe
322,Hola! sinior shawarma,Honduras 5328,-34.586632,-58.433197,25,,,,,Arabe,photo_10066_1.jpg-fdd5904d-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
323,Tazz entertainment bar,Serrano 1556,-34.588932222135,-58.430616972202,100,,,,,"Porteña, Pizza",photo_575_1.jpg-fdce3e0b-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
324,Los octubres,Thames 1788,-34.5868093,-58.429267,100,,,,,Porteña,Los-octubres-13430-265df73a-34eb-4cfc-8122-76674b90441d
325,Ocho Once (a puertas cerradas),"El Salvador y Ravignani ",-34.580969325759,-58.438244128897,100,,,,,"De Autor, Natural",Ocho-Once-12598-e10e6220-3b85-fb01-51b7-56e9b3e59966
326,La más bonita,Nicaragua 4610,-34.588095,-58.42539,,,,,,Parrilla,photo_10636_1.jpg-fdd5b855-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
327,Barcelona,"Av. Córdoba ",-34.590271,-58.43624,50,,,,,Pizza,photo_2443_1.jpg-fdd0ae5a-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
328,Eterna cadencia,Honduras 5574,-34.58419350224,-58.436112596943,,,,,,"De Autor, Casera",photo_2712_1.jpg-fdd0d6e1-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
329,El tiki,Av. Cnel. Niceto Vega 5507,-34.587368,-58.438424,,,,,,Variada,photo_7238_1.jpg-fdd4a790-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
330,Tiendas Naturales,República Árabe Siria 3001,-34.5807978,-58.4135643,50,,,,,"Natural, Casera, Deli",Tiendas-Naturales-14924-d6aef021-27b9-81bf-60e9-56e334510c4b
331,Romario,Güemes 3602,-34.5888,-58.413595,,,,,,Pizza,photo_1086_1.jpg-fdceb2ff-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
332,Il Ballo del Mattone,Gorriti 5950,-34.5820915,-58.4409285,100,,,,,Italiana,Restaurante.jpg
333,Carlitos LNG,Uriarte 1890,-34.585305886461,-58.428940179775,100,,,,,Casera,photo_2207_1.jpg-fdd03a66-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
334,Utopía,Serrano 1590,-34.5889499,-58.4305689,,,,,,Autóctona,photo_2024_1.jpg-fdcfeb0a-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
335,Restaurante (Club atlético de Palermo),Fitz Roy 2238,-34.5800172,-58.4315975,75,,,,,Variada,Restaurante.jpg
336,Il Gatto,Antonio Beruti 3391,-34.5866243,-58.4104536,100,,,,,"Italiana, Mediterránea",photo_11920_1.jpg-fdd62d65-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
337,Klimt,José Antonio Cabrera 4799,-34.5913811,-58.4302592,50,,,,,De Autor,Restaurante.jpg
338,Viva victoria tienda de delicias,República Árabe Siria 2982,-34.580984,-58.413563,,,,,,Deli,photo_4196_1.jpg-fdd40a8a-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
339,Cafe nostalgia,Av. Coronel Diaz 1401,-34.594023,-58.414386,75,,,,,Internacional,photo_5076_1.jpg-fdd40ad3-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
340,La editorial bistró,Honduras 5582,-34.5842939,-58.4361091,,,,,,"Autóctona, Latinoamericana",photo_12008_1.jpg-fdd62da1-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
341,Thelonious club,Jerónimo Salguero 1884,-34.588224230742,-58.414707729146,,,,,,Porteña,photo_1870_1.jpg-fdcfc40e-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
342,The Temple Bar,Costa Rica 4677,-34.5881804,-58.4269686,75,,,,,variada,Restaurante.jpg
343,Moremore,El Salvador 5721,-34.5823297,-58.4366042,,,,,,Deli,photo_11258_1.jpg-fdd60561-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
